#Mario
#0	32	16	1
#Grass
20	16	16	2
20	32	16	2
20	48	-16	2
20	16	0	2
20	32	0	2
20	48	0	2
20	16	32	2
20	32	32	2
20	48	32	2
20	16	48	2
20	32	48	2
20	48	48	2
20	16	64	2
20	80	0	2
20	96	0	2
20	112	0	2
20	80	16	2
20	96	16	2
20	112	16	2
20	80	32	2
20	96	32	2
20	112	32	2
20	144	0	2
20	160	0	2
20	176	0	2
20	208	-16	2
20	224	-16	2
20	208	0	2
20	224	0	2
20	208	16	2
20	224	16	2
20	208	32	2
20	224	32	2
20	144	32	2
20	160	32	2
20	176	32	2
20	192	32	2
20	224	48	2
20	224	64	2
20	224	80	2
20	224	96	2
20	224	112	2
20	144	48	2
20	160	48	2
20	128	64	2
20	112	64	2
20	96	64	2
#DOOR
#13	30	15	3	0
#13	65	-14	3	1
#13	128	-14	3	2
#13	160	-14	3	3
#13	160	18	3	4
#13	65	113	3	5
#13	129	113	3	6
#13	128	48	3	7
#Hammer
#15	156	80	4
#Help
#16	208	66	5
